"DateTime","Final price","Historical low"
"2012-11-22 14:23:33",9.99,9.99
"2012-12-03 18:26:03",4.99,4.99
"2012-12-20 21:26:37",9.99,4.99
"2012-12-23 19:10:22",4.99,4.99
"2012-12-27 20:22:14",9.99,4.99
"2012-12-29 16:26:03",4.99,4.99
"2012-12-30 04:26:03",9.99,4.99
"2013-01-05 18:26:25",4.99,4.99
"2013-07-11 19:06:33",9.99,4.99
"2013-07-14 17:26:15",4.99,4.99
"2013-07-16 17:46:10",9.99,4.99
"2013-07-19 17:46:12",4.99,4.99
"2013-07-20 01:26:05",9.99,4.99
"2013-07-25 15:40:44",19.99,4.99
"2013-11-08 18:18:06",4.99,4.99
"2013-11-10 20:46:41",19.99,4.99
"2013-11-27 18:21:59",4.99,4.99
"2013-11-28 04:23:12",19.99,4.99
"2013-11-28 05:30:36",4.99,4.99
"2013-11-28 12:51:07",19.99,4.99
"2013-11-29 05:30:28",4.99,4.99
"2013-11-29 12:50:19",19.99,4.99
"2013-12-19 18:29:03",9.99,4.99
"2013-12-23 12:39:42",19.99,4.99
"2013-12-27 19:30:16",4.99,4.99
"2013-12-29 18:30:11",9.99,4.99
"2014-01-02 18:28:48",19.99,4.99
"2014-04-22 17:15:03",4.99,4.99
"2014-04-25 17:15:06",19.99,4.99
"2014-06-19 19:00:02",9.99,4.99
"2014-06-21 09:18:05",19.99,4.99
"2014-06-28 18:18:04",4.99,4.99
"2014-06-30 17:18:05",19.99,4.99
"2014-08-19 17:48:02",4.99,4.99
"2014-08-19 18:46:54",19.99,4.99
"2014-09-24 17:15:03",4.99,4.99
"2014-09-28 10:15:04",19.99,4.99
"2014-11-26 20:09:25",9.99,4.99
"2014-11-26 21:52:29",19.99,4.99
"2014-11-27 20:37:36",9.99,4.99
"2014-12-01 18:00:34",4.99,4.99
"2014-12-02 18:12:52",19.99,4.99
"2014-12-18 18:25:51",9.99,4.99
"2014-12-21 18:03:00",3.99,3.99
"2014-12-23 18:05:38",9.99,3.99
"2015-01-02 18:06:13",19.99,3.99
"2015-01-27 18:05:11",4.99,3.99
"2015-01-30 18:05:09",19.99,3.99
"2015-02-14 18:05:46",4.99,3.99
"2015-02-16 18:05:40",19.99,3.99
"2015-06-11 19:05:01",4.99,3.99
