"DateTime","Final price","Historical low"
"2021-09-28 16:05:29",13.49,13.49
"2021-10-05 17:06:59",14.99,13.49
"2021-10-28 17:40:52",11.99,11.99
"2021-11-01 18:56:37",14.99,11.99
"2021-11-24 18:07:44",11.99,11.99
"2021-11-24 18:10:43",11.99,11.99
"2021-12-01 18:21:00",14.99,11.99
"2021-12-22 18:06:59",11.99,11.99
"2021-12-22 18:14:51",11.99,11.99
"2022-01-05 19:01:09",14.99,11.99
"2022-01-27 18:26:27",11.99,11.99
"2022-02-03 18:26:58",14.99,11.99
"2022-04-07 07:05:03",11.99,11.99
"2022-04-11 17:03:35",14.99,11.99
"2022-05-19 17:03:06",9.89,9.89
"2022-05-30 17:23:59",14.99,9.89
"2022-06-23 17:31:05",9.89,9.89
"2022-06-23 17:32:51",9.89,9.89
"2022-07-07 17:28:53",14.99,9.89
"2022-08-15 17:23:43",9.89,9.89
"2022-08-22 17:23:56",14.99,9.89
"2022-09-19 17:23:45",9.89,9.89
"2022-09-26 17:24:35",14.99,9.89
"2022-10-31 17:23:52",9.89,9.89
"2022-11-07 18:23:42",14.99,9.89
"2022-11-22 18:16:16",9.89,9.89
"2022-11-29 18:28:39",14.99,9.89
"2022-12-22 18:13:40",9.89,9.89
"2023-01-05 18:29:42",14.99,9.89
"2023-02-20 18:23:48",9.89,9.89
"2023-02-27 18:23:41",14.99,9.89
"2023-03-16 17:46:33",9.89,9.89
"2023-03-23 17:25:50",14.99,9.89
"2023-05-04 17:03:34",9.89,9.89
"2023-05-18 17:03:28",14.99,9.89
"2023-06-29 17:31:31",9.89,9.89
"2023-07-13 17:26:13",14.99,9.89
"2023-08-03 17:03:14",9.89,9.89
"2023-08-10 17:05:10",14.99,9.89
"2023-09-18 17:23:55",9.89,9.89
"2023-09-25 17:23:52",14.99,9.89
"2023-10-26 17:24:02",9.89,9.89
"2023-11-02 17:28:30",14.99,9.89
"2023-11-21 18:27:44",9.89,9.89
"2023-11-28 18:31:57",14.99,9.89
"2023-12-21 18:13:00",9.89,9.89
"2024-01-04 18:39:54",14.99,9.89
"2024-02-15 18:27:59",9.89,9.89
"2024-02-26 18:23:37",14.99,9.89
"2024-03-14 17:46:42",9.89,9.89
"2024-03-21 17:32:05",14.99,9.89
"2024-04-11 17:03:15",9.89,9.89
"2024-04-22 17:23:59",14.99,9.89
"2024-05-23 17:03:28",9.89,9.89
"2024-06-03 17:24:03",14.99,9.89
"2024-06-27 18:03:30",9.89,9.89
"2024-07-11 17:31:46",14.99,9.89
"2024-07-11 18:00:31",9.89,9.89
"2024-07-20 18:05:02",14.99,9.89
"2024-09-04 01:41:36",14.99,9.89
"2024-09-04 01:41:36",,9.89
